LEVEL,START_ROM,END_ROM,START_RAM,END_RAM
1,593E,5A27,E018,E101
2R,6676,675F,E018,E101
2L,68AA,6993,E018,E101
3R,5C8C,5D75,E018,E101
3L,5DA6,5E8F,E018,E101
4R,620E,62F7,E018,E101
4L,9D8A,9E73,E018,E101
5R,93A0,9489,E018,E101
5L,6328,6411,E018,E101
6R,9C70,9D58,E018,E101
6L,6E2C,6F15,E018,E101
7R,7060,7149,E018,E101
7L,5EC0,5FA9,E018,E101
8R,5A58,5B41,E018,E101
8L,7A4A,7B33,E018,E101
9R,6F46,702f,E018,E101
9L,6CD2,6CE1,E018,E101
10R,60F4,61DD,E018,E101
10L,5FDA,60C3,E018,E101
11R,7EB2,7F9B,E018,E101
11L,8782,886B,E018,E101
12R,7816,78FF,E018,E101
12L,96EE,97D7,E018,E101
13R,8200,82E9,E018,E101
13L,9922,90AB,E018,E101
14R,9286,936F,E018,E101
14L,8434,851D,E018,E101
15R,94BA,95A3,E018,E101
15L,7930,7A19,E018,E101
16R,69C4,6AAD,E018,E101
16L,6ADE,6BC7,E018,E101

(BOSS, SO 2? nOPE!)
17R,9EA4,9F8D,E018,E101
17L,9EA4,9F8D,E018,E101

18R,7C7E,7D67,E018,E101
18L,7B64,7C4D,E018,E101
19R,89B6,8A9F,E018,E101
19L,8668,8751,E018,E101
20R,7294,737D,E018,E101
20L,831A,8403,E018,E101
21R,6D12,6DFB,E018,E101
21L,8D04,8DED,E018,E101
22R,8F38,9021,E018,E101
22L,6442,652B,E018,E101
23R,7FCC,80B5,E018,E101
23L,5B72,5C5B,E018,E101
24R,73AE,7497,E018,E101
24L,889C,8985,E018,E101
25R,9B56,9C3F,E018,E101
25L,76FC,77E5,E018,E101
26R,95D4,96BD,E018,E101
26L,655C,6645,E018,E101
27R,8E1E,8F07,E018,E101
27L,7D98,7E81,E018,E101
28R,8AD0,8BB9,E018,E101
28L,75E2,76CB,E018,E101
29R,74C8,75B1,E018,E101
29L,916C,9255,E018,E101
30R,854E,8637,E018,E101
30L,9A3C,9B25,E018,E101
31R,80E6,81CF,E018,E101
31L,9052,913B,E018,E101
32R,9808,98F1,E018,E101
32L,8BEA,8CD3,E018,E101
33R,717A,7263,E018,E101
33L,6790,6879,E018,E101

(BOSS, SO 2? NOPE)
34R,9EA4,9F8D,E018,E101
34L,9EA4,9F8D,E018,E101
